id,session_id,position,guess_number,guessed_character,is_correct
1329,54,99,1,Ж,True
1330,54,100,1,Л,True
1331,54,101,1,И,True
1332,54,102,1,В,True
1333,54,103,1,О,True
1334,54,104,1,С,True
1335,54,105,1,Т,True
1336,54,106,1,Е,True
1337,54,107,1,Й,True
1338,54,108,1, ,True
1339,54,109,1,Т,False
1340,54,109,2,І,False
1341,54,109,3,Ф,False
1342,54,109,4,З,False
1343,54,109,5,Н,False
1344,54,109,6,В,False
1345,54,109,7,М,False
1346,54,109,8,Б,False
1347,54,109,9,Д,True
1348,54,110,1,Л,True
1349,54,111,1,Я,True
1350,54,112,1, ,True
1351,54,113,1,Т,False
1352,54,113,2,З,True
1353,54,114,1,А,False
1354,54,114,2,Д,False
1355,54,114,3,Е,False
1356,54,114,4,І,False
1357,54,114,5,Р,True
1358,54,115,1,О,True
1359,54,116,1,С,True
1360,54,117,1,Т,True
1361,54,118,1,А,True
1362,54,119,1,Н,True
1363,54,120,1,Н,True
1364,54,121,1,Я,True
1365,54,122,1,И,False
1366,55,70,1,Л,True
1367,55,71,1,М,False
1368,55,71,2,И,True
1369,55,72,1,В,True
1370,55,73,1,А,True
1371,55,74,1,Є,True
1372,55,75,1,Н,False
1373,55,75,2, ,True
1374,55,76,1,Н,True
1375,55,77,1,А,True
1376,57,70,1,А,False
1377,57,70,2,І,True
1378,57,71,1, ,True
1379,57,72,1,Н,True
1380,57,73,1,А,True
1381,57,74,1,П,True
1382,57,75,1,Р,True
1383,57,76,1,У,True
1384,57,77,1,Г,True
1385,57,78,1,И,True
1386,57,79,1, ,True
1387,57,80,1,М,True
1388,57,81,1,О,True
1389,57,82,1,Ж,True
1390,57,83,1,Е,True
1391,57,84,1, ,True
1392,57,85,1,С,False
1393,57,85,2,В,False
1394,57,85,3,З,False
1395,57,85,4,О,False
1396,57,85,5,Н,True
1397,57,86,1,А,True
1398,57,87,1, ,False
1399,57,87,2,Г,False
1400,57,87,3,В,True
1401,57,88,1,І,True
1402,57,89,1,Т,True
1403,57,90,1,Ь,True
1404,57,91,1, ,True
1405,57,92,1,У,False
1406,57,92,2,В,False
1407,57,92,3,Б,False
1408,57,92,4,П,True
1409,57,93,1,О,False
1410,57,93,2,Р,True
1411,57,94,1,И,True
1412,57,95,1,З,True
1413,57,96,1,В,True
1414,57,97,1,Е,True
1415,57,98,1,С,True
1416,57,99,1,Т,True
1417,57,100,1,И,True
1418,57,101,1, ,True
1419,57,102,1,Д,True
1420,57,103,1,О,True
1421,57,104,1, ,True
1422,57,105,1,С,False
1423,57,105,2,У,False
1424,57,105,3,П,False
1425,57,105,4,Н,False
1426,59,70,1,О,False
1427,60,70,1,Ш,False
1428,63,70,1,Ш,False
1429,66,70,1,Є,False
1430,66,70,2,А,True
1431,69,70,1,І,False
1432,68,70,1,И,True
1433,69,70,2,У,False
1434,68,71,1,И,False
1435,69,70,3,О,False
1436,68,71,2,Д,False
1437,69,70,4,И,False
1438,68,71,3, ,True
1439,69,70,5,К,True
1440,69,71,1,О,True
1441,68,72,1, ,False
1442,69,72,1,В,True
1443,69,73,1,У,True
1444,68,72,2,П,False
1445,71,70,1,Р,True
1446,69,74,1, ,True
1447,71,71,1,А,True
1448,68,72,3,Б,False
1449,71,72,1,А,False
1450,69,75,1,Р,False
1451,71,72,2,Т,True
1452,67,70,1,Х,False
1453,67,70,2,Ч,False
1454,71,73,1,Р,False
1455,68,72,4,Н,False
1456,69,75,2,П,False
1457,71,73,2,О,True
1458,68,72,5,Ш,False
1459,71,74,1,Р,True
1460,67,70,3,З,True
1461,69,75,3,З,False
1462,71,75,1,А,False
1463,67,71,1,И,False
1464,67,71,2,І,False
1465,68,72,6,Д,False
1466,71,75,2,І,True
1467,68,72,7,Г,False
1468,67,71,3,К,False
1469,69,75,4,Т,False
1470,71,76,1,В,True
1471,71,77,1, ,True
1472,68,72,8,Е,False
1473,69,75,5,Г,False
1474,71,78,1,П,False
1475,71,78,2,Н,False
1476,69,75,6,Д,False
1477,68,72,9,Я,False
